,type,words_per_comment,variance_of_word_counts,i-e,n-s,t-f,j-p,0,1
2339,intp,24.68,130.86440000000002,0,0,0,1,14.923141,1.9880186
2340,istp,22.84,178.3876,0,1,0,1,8.608565,6.139711
2341,infj,27.86,133.2944,0,0,1,0,9.635834,3.975875
2342,intp,27.58,141.2064,0,0,0,1,11.980234,3.80504
2343,entp,19.52,201.65,1,0,0,1,12.281108,3.8255408
2344,estj,28.24,101.01160000000002,1,1,0,0,7.118769,4.2858825
2345,infj,16.3,158.7027027027027,0,0,1,0,13.036262,3.536047
2346,intp,25.26,132.1024,0,0,0,1,14.03318,5.331045
2347,intj,16.58,158.2064,0,0,0,0,12.131331,1.8688418
2348,intp,26.12,134.21,0,0,0,1,10.094559,1.6098495
2349,intj,21.24,179.22760000000002,0,0,0,0,13.594404,2.7782812
2350,infj,20.36,226.0244,0,0,1,0,9.78174,3.6105037
2351,enfj,15.28,129.43239999999997,1,0,1,0,13.106851,2.7952662
2352,infp,25.42,165.4,0,0,1,1,11.752731,4.553608
2353,istp,27.76,105.7924,0,1,0,1,11.689415,2.5364146
2354,intp,26.26,97.07561436672965,0,0,0,1,10.114068,1.6874057
2355,intj,15.06,143.55839999999998,0,0,0,0,12.449856,2.1550076
2356,intp,29.96,60.496399999999994,0,0,0,1,8.741575,1.2942035
2357,intj,33.68,68.4244,0,0,0,0,12.002595,2.4419866
2358,enfp,26.9,158.5456,1,0,1,1,10.055202,5.0279007
2359,intp,9.36,153.94135802469134,0,0,0,1,10.435858,1.6942694
2360,intj,29.26,129.6624,0,0,0,0,12.206602,0.8769673
2361,entp,11.4,146.0752551020408,1,0,0,1,17.393559,6.893389
2362,intj,33.28,70.3924,0,0,0,0,7.7884955,1.1250725
2363,infp,28.52,127.89,0,0,1,1,10.59349,6.120279
2364,intp,23.08,200.65640000000002,0,0,0,1,11.643025,3.0649662
2365,infp,32.2,68.0676,0,0,1,1,15.090357,3.623105
2366,infp,25.22,168.76000000000005,0,0,1,1,10.758752,5.9777617
2367,intp,26.8,108.4916,0,0,0,1,8.662095,1.3259467
2368,infp,22.7,133.73760000000001,0,0,1,1,10.646586,6.273551
2369,intp,25.96,132.33640000000003,0,0,0,1,9.420025,6.89872
2370,intp,25.74,114.1216,0,0,0,1,11.49392,1.5522404
2371,isfj,26.6,177.96360000000004,0,1,1,0,8.3104105,2.6599197
2372,entp,17.7,171.25760000000002,1,0,0,1,9.918742,0.73128664
2373,intp,27.12,45.61,0,0,0,1,11.9779415,1.5378456
2374,infp,27.32,137.89000000000001,0,0,1,1,10.781012,5.9699287
2375,enfp,34.02,36.68,1,0,1,1,10.092646,5.6763268
2376,infp,24.86,124.21439999999998,0,0,1,1,10.815202,5.876633
2377,entp,19.24,139.5716,1,0,0,1,15.286065,1.8540447
2378,infp,30.32,105.69,0,0,1,1,10.596335,0.5781604
2379,intj,25.48,153.8884,0,0,0,0,10.8524275,4.30053
2380,infp,27.3,167.84159999999997,0,0,1,1,10.421681,5.010694
2381,infj,1.44,83.0763888888889,0,0,1,0,13.588807,3.6072345
2382,intp,25.12,160.25,0,0,0,1,10.833418,2.0445504
2383,infp,20.7,182.13760000000002,0,0,1,1,11.522222,4.6195683
2384,istp,29.06,159.91840000000002,0,1,0,1,10.545912,3.427857
2385,enfp,29.32,69.85000000000001,1,0,1,1,11.524664,3.114378
2386,infj,17.74,179.68098765432097,0,0,1,0,13.023743,3.695715
2387,intj,20.96,213.53640000000004,0,0,0,0,15.458093,1.4723992
2388,infp,30.08,120.41640000000001,0,0,1,1,10.424777,5.097519
2389,infp,32.08,115.5764,0,0,1,1,9.531492,4.8577857
2390,enfj,28.1,143.27360000000002,1,0,1,0,12.689213,4.5456247
2391,intj,26.24,133.25159999999997,0,0,0,0,10.932824,3.9071255
2392,infp,19.3,239.8416,0,0,1,1,12.529047,3.818664
2393,infj,25.24,155.29160000000002,0,0,1,0,17.334993,6.851888
2394,infp,22.34,182.13760000000002,0,0,1,1,10.78642,4.0589905
2395,infj,31.62,51.56000000000001,0,0,1,0,8.197883,5.27029
2396,intp,26.32,175.29,0,0,0,1,10.432965,3.4609308
2397,infp,24.78,185.8224,0,0,1,1,10.673526,5.1359005
2398,entp,21.7,170.01760000000002,1,0,0,1,15.038847,1.9745579
2399,enfp,31.36,91.34440000000001,1,0,1,1,10.430293,4.679814
2400,istp,24.86,155.61440000000002,0,1,0,1,12.323809,3.747468
2401,intp,9.28,125.8724,0,0,0,1,13.095134,3.3940344
2402,infp,30.0,169.2196,0,0,1,1,10.848626,4.6036835
2403,isfp,25.56,180.3284,0,1,1,1,12.901842,6.178242
2404,intp,26.06,136.7984,0,0,0,1,10.521264,1.721451
2405,intj,27.08,134.41639999999998,0,0,0,0,9.972875,0.5536344
2406,infj,27.5,93.68960000000001,0,0,1,0,11.497814,2.0325692
2407,entp,32.86,83.61439999999999,1,0,0,1,10.085881,0.28290343
2408,intp,10.7,192.3376,0,0,0,1,11.849066,1.9286857
2409,infj,20.32,296.17,0,0,1,0,9.111199,2.70409
2410,infj,27.66,150.59040000000002,0,0,1,0,14.475877,3.389884
2411,enfp,25.42,121.59999999999998,1,0,1,1,11.041568,5.220901
2412,infp,18.96,278.33639999999997,0,0,1,1,12.317288,4.2997046
2413,infp,30.22,99.04000000000002,0,0,1,1,12.124109,3.8885775
2414,intj,31.02,100.76,0,0,0,0,12.145837,0.7399113
2415,intp,16.84,163.26760000000002,0,0,0,1,10.938548,2.7815998
2416,infp,16.32,173.898393194707,0,0,1,1,12.646015,3.713712
2417,entp,13.56,143.4884,1,0,0,1,12.953345,3.3094072
2418,infp,15.1,201.99360000000001,0,0,1,1,13.138116,4.412997
2419,infj,27.82,146.2,0,0,1,0,14.735678,1.5938287
2420,infp,18.66,138.0720987654321,0,0,1,1,8.832768,1.2260733
2421,entj,27.56,94.2484,1,0,0,0,11.122035,0.092139006
2422,intj,24.34,143.8576,0,0,0,0,12.265925,1.3330202
2423,intp,13.7,161.44,0,0,0,1,12.5008,2.9900079
2424,infp,27.74,127.8016,0,0,1,1,11.412201,3.7253041
2425,enfp,29.7,128.2976,1,0,1,1,10.946037,5.2539415
2426,enfj,7.94,122.0336,1,0,1,0,13.152985,3.1698394
2427,entp,28.38,104.5104,1,0,0,1,9.206193,1.3602822
2428,infp,28.66,143.5504,0,0,1,1,10.808891,5.528113
2429,intj,22.86,174.8544,0,0,0,0,12.106339,1.1287478
2430,infj,28.46,116.8864,0,0,1,0,9.087272,2.7766
2431,esfj,15.7,102.0976,1,1,1,0,13.4529295,5.380486
2432,entp,26.68,140.3844,1,0,0,1,9.951813,0.29153335
2433,infj,28.28,156.19240000000002,0,0,1,0,9.724939,4.573129
2434,entp,26.24,128.85160000000002,1,0,0,1,9.773896,0.54601
2435,intp,25.78,143.7824,0,0,0,1,12.952555,2.136204
2436,intj,16.82,196.28000000000003,0,0,0,0,12.014208,2.6168048
2437,infj,30.78,121.10240000000002,0,0,1,0,9.730115,3.7242622
2438,entp,16.72,172.60092044707426,1,0,0,1,10.473382,0.8225297
2439,intj,27.32,153.05,0,0,0,0,11.252227,3.097693
2440,intp,28.42,128.00000000000003,0,0,0,1,11.907723,2.5426347
2441,intj,31.8,41.81159999999999,0,0,0,0,10.207116,2.7965689
2442,intp,24.12,130.01,0,0,0,1,17.474348,6.970013
2443,entp,23.5,153.68959999999998,1,0,0,1,9.629884,0.063394904
2444,entp,23.4,149.1556,1,0,0,1,12.03651,1.5348489
2445,infp,26.7,167.6976,0,0,1,1,10.691466,5.6331363
2446,intj,26.82,120.00000000000001,0,0,0,0,11.850582,2.5269086
2447,isfj,28.64,158.0756,0,1,1,0,7.3736,3.4357383
2448,intj,29.5,149.24960000000002,0,0,0,0,12.250707,1.0790687
2449,intj,16.52,189.37,0,0,0,0,12.407025,3.3539615
2450,entj,21.24,170.0916,1,0,0,0,12.906311,2.6686554
2451,infj,21.92,165.29,0,0,1,0,12.495481,2.7397685
2452,infj,21.62,144.52,0,0,1,0,11.924334,2.304505
2453,istp,11.14,216.46745562130175,0,1,0,1,8.292056,1.9622465
2454,estp,30.46,94.76640000000002,1,1,0,1,9.681012,2.8761034
2455,infj,27.1,179.7536,0,0,1,0,10.6898365,3.8615484
2456,istp,21.68,197.62439999999998,0,1,0,1,8.319264,6.5283575
2457,isfp,18.28,197.0724,0,1,1,1,12.458323,3.7351253
2458,infp,24.62,232.04,0,0,1,1,10.812867,4.734175
2459,infj,24.48,169.5684,0,0,1,0,10.9478,4.5179
2460,enfp,27.18,93.77439999999999,1,0,1,1,12.035178,5.247505
2461,infp,34.22,45.08,0,0,1,1,10.149055,4.504729
2462,infj,24.98,142.1984,0,0,1,0,7.6652665,2.1180098
2463,infj,6.44,147.8836,0,0,1,0,13.212824,3.610694
2464,intj,29.3,110.7216,0,0,0,0,11.6073065,1.1192915
2465,enfp,24.52,149.61,1,0,1,1,11.9598,3.4946728
2466,infp,33.7,81.8976,0,0,1,1,10.931295,5.6382766
2467,infp,35.02,30.72,0,0,1,1,9.925908,4.144965
2468,infp,26.38,155.95040000000003,0,0,1,1,10.671106,6.0297976
2469,enfp,37.62,10.44,1,0,1,1,12.261756,0.88091946
2470,infp,19.88,238.7204,0,0,1,1,11.105227,5.2137246
2471,infp,26.38,104.87831260140615,0,0,1,1,10.508013,5.888602
2472,istp,20.1,147.0736,0,1,0,1,12.261381,3.011351
2473,infj,25.8,166.4916,0,0,1,0,12.152721,3.7774556
2474,intj,23.96,157.6564,0,0,0,0,11.915071,2.723817
2475,intj,17.3,179.8416,0,0,0,0,14.121465,4.5609736
2476,estp,34.62,74.8,1,1,0,1,14.481495,1.3527772
2477,infj,24.3,215.6416,0,0,1,0,11.451858,4.439504
2478,infp,33.36,90.74439999999998,0,0,1,1,10.088954,4.5934286
2479,istp,33.26,55.102399999999996,0,1,0,1,9.752712,2.9962668
2480,enfp,30.2,83.7476,1,0,1,1,9.201732,2.3821611
2481,intj,27.08,134.49640000000002,0,0,0,0,9.352832,6.9920955
2482,infj,31.76,56.07239999999999,0,0,1,0,8.769817,1.5485487
2483,intj,13.24,220.69160000000002,0,0,0,0,12.625415,4.462677
2484,istp,25.28,140.5524,0,1,0,1,11.250465,2.5334492
2485,intj,27.98,128.1184,0,0,0,0,11.637883,1.5428112
2486,enfp,22.36,144.14440000000002,1,0,1,1,9.655083,5.910293
2487,infp,23.26,197.7024,0,0,1,1,10.80109,4.5980096
2488,entp,26.72,135.48999999999998,1,0,0,1,11.630543,2.6811604
2489,infj,6.7,123.1376,0,0,1,0,7.7753286,1.8701586
2490,intj,26.32,174.25000000000003,0,0,0,0,10.620212,3.8262217
2491,infj,16.64,91.19560000000001,0,0,1,0,13.164794,3.6097605
2492,estp,11.18,134.8544,1,1,0,1,13.14155,3.1516945
2493,esfp,18.5,157.68959999999998,1,1,1,1,12.134581,3.6036978
2494,infj,35.2,13.6676,0,0,1,0,10.40432,4.361144
2495,intp,20.96,113.93639999999999,0,0,0,1,12.473734,3.6423469
2496,intj,22.14,151.9856,0,0,0,0,11.93975,2.354156
2497,enfj,30.5,116.36959999999999,1,0,1,0,9.785066,4.117232
2498,infj,30.06,112.43840000000002,0,0,1,0,8.814118,3.0971096
2499,infj,22.74,133.9362880886427,0,0,1,0,11.161025,5.1418614
2500,infp,27.12,150.73,0,0,1,1,11.220182,3.991767
2501,entp,24.84,176.74759999999998,1,0,0,1,10.073463,1.0001744
2502,infp,29.4,121.2304,0,0,1,1,15.466052,3.8391643
2503,infp,27.18,191.53440000000003,0,0,1,1,10.905983,5.6096387
2504,isfp,8.5,102.80959999999999,0,1,1,1,13.277027,3.6185718
2505,intj,29.84,78.8276,0,0,0,0,8.47956,1.8326687
2506,intp,30.8,104.41160000000002,0,0,0,1,11.402739,2.2942433
2507,isfp,15.22,182.0,0,1,1,1,12.059649,4.084046
2508,istp,24.74,175.28160000000003,0,1,0,1,9.082566,1.2348845
2509,infj,27.56,159.3284,0,0,1,0,8.877897,3.8417082
2510,enfp,32.42,55.96,1,0,1,1,8.604367,1.2274204
2511,infj,23.34,139.4176,0,0,1,0,10.313938,0.6166723
2512,intp,30.86,80.4944,0,0,0,1,12.749429,1.4441644
2513,intp,30.72,72.45,0,0,0,1,9.9767275,3.775286
2514,intp,20.88,136.1204,0,0,0,1,11.759919,1.9663992
2515,istp,14.92,140.17,0,1,0,1,12.074415,3.632643
2516,infj,25.78,169.9424,0,0,1,0,10.292344,4.23866
2517,entp,25.22,127.08,1,0,0,1,11.01507,1.5110201
2518,intj,23.44,175.2036,0,0,0,0,14.859652,1.3463273
2519,istp,24.02,168.2,0,1,0,1,8.526768,1.7627136
2520,infj,28.92,75.21,0,0,1,0,8.695097,3.1611278
2521,infp,20.92,186.37,0,0,1,1,8.424722,4.082281
2522,intj,31.18,106.37440000000001,0,0,0,0,11.982889,1.1840572
2523,entp,23.54,134.4896,1,0,0,1,9.95905,0.7458147
2524,infj,33.02,66.72,0,0,1,0,8.729361,3.7126398
2525,intj,33.08,38.056400000000004,0,0,0,0,11.925906,0.9914396
2526,intp,18.36,126.9444,0,0,0,1,11.220667,2.194189
2527,infp,24.0,219.5796,0,0,1,1,10.500009,5.346368
2528,enfp,10.94,128.88888888888889,1,0,1,1,12.475979,3.9555545
2529,infj,34.4,76.1956,0,0,1,0,10.570574,3.6987548
2530,entp,32.86,89.4544,1,0,0,1,9.762804,0.11005318
2531,infj,24.2,136.3476,0,0,1,0,9.056506,3.3519242
2532,infj,18.06,213.5984,0,0,1,0,12.54543,5.8257647
2533,enfj,34.62,50.83999999999999,1,0,1,0,10.795058,1.8348174
2534,entj,7.04,113.3796,1,0,0,0,7.8639483,2.273812
2535,enfp,25.42,133.93383742911152,1,0,1,1,10.359446,5.738117
2536,enfj,14.72,186.81,1,0,1,0,17.213743,6.768566
2537,esfp,7.96,238.22750000000002,1,1,1,1,8.161239,2.4576097
2538,istp,24.9,150.3856,0,1,0,1,10.863247,4.293428
2539,intj,19.72,116.05,0,0,0,0,12.223087,4.233489
2540,infj,23.8,175.73159999999996,0,0,1,0,15.212989,1.7520822
2541,infj,29.82,105.6293211162016,0,0,1,0,14.852127,1.1849283
2542,intp,25.26,164.14239999999998,0,0,0,1,11.776211,3.6746182
2543,infj,30.24,98.41160000000002,0,0,1,0,10.588686,4.0342174
2544,intp,18.42,209.75999999999996,0,0,0,1,12.527771,3.5616274
2545,intp,23.8,212.3316,0,0,0,1,10.635596,2.6089985
2546,infj,29.48,135.8884,0,0,1,0,8.709417,3.127183
2547,isfp,23.72,235.65784438775512,0,1,1,1,10.564083,2.9442418
2548,infj,31.36,57.1044,0,0,1,0,8.915647,3.5127277
2549,intp,20.22,157.56000000000003,0,0,0,1,13.090013,2.9457426
2550,infj,26.1,166.6736,0,0,1,0,11.608894,5.659016
2551,infj,21.6,225.7636,0,0,1,0,11.376707,3.657599
2552,intj,33.2,78.7876,0,0,0,0,10.718182,2.5847068
2553,intp,22.68,169.1844,0,0,0,1,11.936778,3.3757496
2554,intp,22.12,178.29,0,0,0,1,10.67325,2.0431523
2555,enfp,21.42,69.38775510204081,1,0,1,1,11.293807,4.306456
2556,intj,33.06,113.83840000000002,0,0,0,0,10.812795,4.266674
2557,istj,27.74,140.8816,0,1,0,0,11.8720045,1.417197
2558,infp,13.32,200.85000000000002,0,0,1,1,12.481338,4.3151197
2559,intp,31.24,132.0116,0,0,0,1,9.293949,1.9394143
2560,intj,32.86,35.4144,0,0,0,0,14.703162,3.3576245
2561,enfp,33.48,62.248400000000004,1,0,1,1,10.929355,3.891542
2562,infj,20.86,198.37440000000004,0,0,1,0,11.988105,4.6552353
2563,intp,28.74,124.0816,0,0,0,1,10.699373,2.7173686
2564,infp,24.64,201.3156,0,0,1,1,10.355358,5.4822545
2565,intj,23.86,165.4544,0,0,0,0,13.507511,3.7174356
2566,intp,25.78,141.4624,0,0,0,1,17.333796,6.853428
2567,intp,27.28,104.07239999999997,0,0,0,1,10.043115,2.607835
2568,intp,29.6,129.24360000000001,0,0,0,1,9.727479,4.455077
2569,infj,15.76,164.6324,0,0,1,0,13.398986,4.5418134
2570,infp,18.94,130.4336,0,0,1,1,8.637426,2.0687268
2571,intp,27.36,86.1044,0,0,0,1,10.8145895,2.1850932
2572,infj,28.58,120.1664,0,0,1,0,11.423759,4.06576
2573,infp,22.3,152.6816,0,0,1,1,11.121674,5.735753
2574,infj,33.04,113.65960000000001,0,0,1,0,11.567797,3.5880852
2575,infj,24.2,175.62760000000003,0,0,1,0,8.423065,4.108779
2576,enfp,19.16,200.12040000000002,1,0,1,1,15.31617,4.1056404
2577,infj,30.0,122.81960000000001,0,0,1,0,11.032023,5.249494
2578,istj,32.74,68.0816,0,1,0,0,7.741498,4.514794
2579,isfp,22.32,165.25,0,1,1,1,8.169141,2.6584642
2580,infp,17.58,203.9264,0,0,1,1,11.873845,4.447625
2581,isfp,27.46,142.7664,0,1,1,1,7.887656,3.1448627
2582,infp,27.64,201.47560000000001,0,0,1,1,10.837749,4.435029
2583,infj,27.28,179.19240000000002,0,0,1,0,8.468725,2.6228673
2584,infj,22.4,202.39455782312925,0,0,1,0,14.931563,3.4983068
2585,entp,16.56,233.47145061728395,1,0,0,1,13.067099,5.8608727
2586,intj,22.48,134.2084,0,0,0,0,11.246444,1.5875838
2587,infj,24.1,187.87360000000004,0,0,1,0,10.965117,4.504397
2588,infj,24.12,149.85,0,0,1,0,11.481614,3.6297774
2589,isfj,21.52,183.01,0,1,1,0,7.6630716,3.07581
2590,intj,25.28,151.7524,0,0,0,0,8.510624,1.245048
2591,intp,25.62,131.88,0,0,0,1,10.046971,1.9297657
2592,infp,15.86,109.2799167533819,0,0,1,1,17.405434,6.897885
2593,intp,25.94,123.51359999999998,0,0,0,1,10.185119,1.8794911
2594,intp,19.82,212.44,0,0,0,1,14.499515,1.8659334
2595,istj,29.8,73.81159999999998,0,1,0,0,12.019115,2.6120944
2596,intj,32.18,104.0544,0,0,0,0,12.19425,1.4120384
2597,enfp,23.56,147.3284,1,0,1,1,15.62176,3.8964415
2598,intp,22.84,195.9876,0,0,0,1,8.031062,4.0460725
2599,intp,29.64,64.8356,0,0,0,1,11.460371,2.146107
2600,infp,30.26,57.54240000000001,0,0,1,1,10.333563,5.4029794
2601,entp,21.98,51.77632653061224,1,0,0,1,13.416969,4.2244787
2602,intj,29.58,108.6464,0,0,0,0,14.653395,3.3255053
2603,intj,19.18,135.3767313019391,0,0,0,0,12.270657,1.5857713
2604,intj,30.52,66.77,0,0,0,0,17.324821,6.845175
2605,intj,21.42,159.4,0,0,0,0,12.03243,0.6271508
2606,infp,19.78,229.06240000000003,0,0,1,1,14.329468,1.9761739
2607,infp,29.5,55.03839913466737,0,0,1,1,10.636506,6.074863
2608,estp,19.42,222.68,1,1,0,1,11.034526,3.4080935
2609,infp,26.4,133.7556,0,0,1,1,11.428223,5.0133076
2610,enfj,8.04,196.62049861495845,1,0,1,0,15.3535385,2.1532867
2611,intp,15.36,146.44437499999998,0,0,0,1,12.639941,3.20408
2612,enfj,16.96,220.4964,1,0,1,0,8.475445,5.027672
2613,isfj,33.88,62.9604,0,1,1,0,9.75702,4.5650015
2614,enfp,24.8,199.73160000000004,1,0,1,1,12.884548,5.973959
2615,istj,31.96,45.57640000000001,0,1,0,0,11.045354,2.2681758
2616,infp,28.46,150.1664,0,0,1,1,10.656978,4.716234
2617,infp,19.52,178.73,0,0,1,1,12.436537,4.829249
2618,istp,15.0,128.52202498356348,0,1,0,1,12.346661,2.7197957
2619,infp,24.16,153.9604,0,0,1,1,10.421191,5.798495
2620,entp,29.84,79.01692708333333,1,0,0,1,10.976937,1.8336039
2621,infp,27.8,162.45159999999998,0,0,1,1,11.539729,4.264803
2622,infj,12.14,117.82560000000001,0,0,1,0,13.208987,3.5161157
2623,infp,32.3,87.28159999999998,0,0,1,1,9.327457,2.7992141
2624,infp,27.72,129.13,0,0,1,1,11.759967,5.669452
2625,intj,27.94,158.2336,0,0,0,0,10.124556,3.6686893
2626,infp,26.02,208.48,0,0,1,1,15.308948,3.6523075
2627,infp,33.18,59.09440000000001,0,0,1,1,10.374042,5.1507206
2628,enfp,25.56,176.40839999999997,1,0,1,1,12.146441,5.18801
2629,intp,24.52,164.25,0,0,0,1,10.936091,2.4132307
2630,entp,33.32,42.45,1,0,0,1,9.79097,0.22966659
2631,infj,22.24,195.9316,0,0,1,0,9.847559,3.31932
2632,infj,31.56,81.6484,0,0,1,0,13.7055,5.617552
2633,istp,20.62,177.76,0,1,0,1,8.736107,6.1951447
2634,istp,13.3,144.4416,0,1,0,1,12.506163,3.0373955
2635,infp,12.94,179.39577594123048,0,0,1,1,14.252752,5.564527
2636,infp,27.9,160.5856,0,0,1,1,10.964932,5.7488494
2637,intp,28.62,106.72000000000001,0,0,0,1,11.438969,2.6066155
2638,infj,19.78,78.921875,0,0,1,0,9.011931,1.2568237
2639,enfp,31.84,102.18760000000002,1,0,1,1,9.963163,5.2507567
2640,infj,6.94,134.55360000000002,0,0,1,0,13.233497,4.025143
2641,infj,25.98,156.55839999999998,0,0,1,0,9.682961,4.206683
2642,estp,29.88,116.68040000000002,1,1,0,1,9.215566,2.7234092
2643,infj,24.9,141.4656,0,0,1,0,11.396837,4.8712173
2644,intp,25.16,128.7604,0,0,0,1,10.222431,0.6946292
2645,entp,22.4,140.0756,1,0,0,1,10.663741,2.8732085
2646,infp,27.16,126.36040000000001,0,0,1,1,10.699149,4.2325516
2647,infj,14.04,183.53960000000004,0,0,1,0,14.417957,5.691681
2648,infj,25.54,189.32960000000003,0,0,1,0,9.326973,3.7273812
2649,intj,25.16,103.24040000000001,0,0,0,0,11.981556,2.4102643
2650,isfp,25.6,166.4036,0,1,1,1,10.804572,4.244005
2651,infp,32.2,101.58760000000001,0,0,1,1,11.599073,1.2549586
2652,infp,34.04,53.579600000000006,0,0,1,1,10.224238,4.4462423
2653,entp,27.5,125.28960000000001,1,0,0,1,9.654653,0.51114464
2654,intj,11.46,129.12640000000002,0,0,0,0,13.6944,5.035111
2655,entp,19.44,128.36360000000002,1,0,0,1,15.180296,2.1639874
2656,intp,27.68,159.98440000000002,0,0,0,1,10.934041,1.7024089
2657,intj,25.78,66.04759071980963,0,0,0,0,12.232315,1.0829458
2658,intp,27.02,154.92,0,0,0,1,11.426794,2.5048811
2659,enfj,27.98,133.5584,1,0,1,0,15.451505,1.9766579
2660,istp,16.48,112.48840000000001,0,1,0,1,8.5704775,6.436284
2661,entp,23.86,206.6144,1,0,0,1,9.872139,0.56711173
2662,infj,26.18,204.73439999999994,0,0,1,0,9.368999,3.4083302
2663,infj,28.14,199.38559999999998,0,0,1,0,10.63121,3.5587559
2664,intj,24.98,133.73140495867767,0,0,0,0,12.384612,1.9910332
2665,isfp,19.76,149.5924,0,1,1,1,12.699517,5.733442
2666,infp,23.68,190.85373263888889,0,0,1,1,12.651607,4.249784
2667,entp,29.98,99.7184,1,0,0,1,12.277788,1.0046248
2668,intj,26.66,148.2304,0,0,0,0,11.802991,1.2322484
2669,infp,26.56,110.00283446712018,0,0,1,1,10.436071,6.0960007
2670,intp,23.86,109.2544,0,0,0,1,12.233666,1.949356
2671,intj,25.24,165.21159999999998,0,0,0,0,10.947328,2.4773102
2672,enfp,29.32,134.05,1,0,1,1,11.149704,1.5700616
2673,intp,20.9,193.722615576843,0,0,0,1,12.04744,3.1786718
2674,istp,32.32,59.76999999999999,0,1,0,1,14.556887,1.7571446
2675,intp,29.42,102.2,0,0,0,1,12.196785,2.599636
2676,intp,28.18,109.4144,0,0,0,1,12.118045,3.0533254
2677,intp,30.16,110.4004,0,0,0,1,10.148398,2.458536
2678,intp,15.86,222.33440000000002,0,0,0,1,12.278426,3.5054388
2679,intj,31.0,74.7396,0,0,0,0,11.12125,2.3470674
2680,infp,20.32,223.01000000000005,0,0,1,1,11.015742,3.1392326
2681,infj,25.6,153.4836,0,0,1,0,8.47643,1.6691341
2682,intj,17.7,166.7376,0,0,0,0,10.953191,2.408727
2683,infj,27.1,152.55360000000002,0,0,1,0,11.76812,2.9839466
2684,infp,22.44,173.4836,0,0,1,1,9.367561,2.3041341
2685,infp,4.74,82.4083044982699,0,0,1,1,13.191582,5.36697
2686,esfp,27.04,162.6596,1,1,1,1,11.252714,1.4495883
2687,enfj,25.14,163.4256,1,0,1,0,9.708107,4.4052477
2688,intj,26.42,165.6,0,0,0,0,11.181361,1.8236226
2689,infj,19.84,198.42759999999998,0,0,1,0,14.803854,1.5598009
2690,intp,32.56,73.2084,0,0,0,1,10.169577,4.1780376
2691,entp,23.88,133.04039999999998,1,0,0,1,8.590716,1.796808
2692,istp,17.2,141.7876,0,1,0,1,12.011551,2.82898
2693,intj,23.14,234.22559999999993,0,0,0,0,8.031284,1.4425247
2694,estj,18.22,149.8,1,1,0,0,13.018084,5.481821
2695,intj,19.74,143.5616,0,0,0,0,11.89096,1.807054
2696,entp,20.66,179.0704,1,0,0,1,13.484066,4.470201
2697,infj,27.34,176.7376,0,0,1,0,11.975516,4.6636868
2698,infp,31.1,140.2336,0,0,1,1,11.093096,4.142594
2699,enfj,27.14,164.62559999999996,1,0,1,0,12.005348,3.9689913
2700,infp,35.16,53.2004,0,0,1,1,11.316378,4.536074
2701,infj,32.74,69.1216,0,0,1,0,11.426932,1.9237242
2702,intj,22.1,158.7936,0,0,0,0,8.574624,2.102513
2703,enfj,29.02,153.04,1,0,1,0,11.7855835,1.1752286
2704,infj,26.94,168.6336,0,0,1,0,8.693594,3.8017073
2705,infj,29.9,113.98559999999999,0,0,1,0,10.32548,3.6211607
2706,enfp,28.22,127.83999999999997,1,0,1,1,15.315915,4.138249
2707,infj,28.54,136.8896,0,0,1,0,10.172143,3.8214023
2708,istp,26.4,156.7556,0,1,0,1,8.983632,5.897731
2709,infj,24.3,154.28160000000003,0,0,1,0,14.901277,1.5846596
2710,istp,21.34,137.85760000000002,0,1,0,1,8.59537,2.6811244
2711,intp,28.26,165.42239999999998,0,0,0,1,11.25795,2.5711935
2712,infp,26.8,202.2916,0,0,1,1,10.145982,4.5047755
2713,intp,24.82,141.04,0,0,0,1,12.130689,2.4937835
2714,intj,21.16,229.40039999999996,0,0,0,0,11.87219,2.098408
2715,entp,32.9,77.1856,1,0,0,1,14.495185,1.714879
2716,entj,28.44,87.9636,1,0,0,0,11.395984,1.796657
2717,intj,27.94,115.79359999999998,0,0,0,0,12.052732,1.9439939
2718,infj,14.22,107.60000000000002,0,0,1,0,4.8210454,2.667197
2719,infp,24.06,129.9584,0,0,1,1,17.872871,7.2608385
2720,entp,25.2,149.6276,1,0,0,1,10.234288,0.7702929
2721,entj,26.1,156.4384,1,0,0,0,11.911282,3.2145796
2722,infj,29.04,101.93959999999998,0,0,1,0,8.281894,1.7807187
2723,enfp,29.88,99.8404,1,0,1,1,10.499987,3.581358
2724,istp,32.24,38.5316,0,1,0,1,9.153952,1.2180741
2725,enfp,23.56,170.32839999999996,1,0,1,1,13.341634,4.742636
2726,infp,30.58,71.84639999999999,0,0,1,1,8.202622,5.2930107
2727,enfp,28.08,96.6164,1,0,1,1,7.67174,2.2304876
2728,isfp,13.3,142.96159999999998,0,1,1,1,17.53321,7.014202
2729,entj,24.2,162.8676,1,0,0,0,10.527471,5.0441346
2730,intj,11.52,134.08,0,0,0,0,13.4479885,4.119208
2731,entp,13.4,132.23559999999995,1,0,0,1,13.059437,3.8286123
2732,entp,32.12,52.97,1,0,0,1,13.918833,5.3312793
2733,enfp,34.14,105.06559999999999,1,0,1,1,9.927352,4.391161
2734,isfp,24.7,170.4176,0,1,1,1,7.8397903,3.0916495
2735,infp,25.94,177.1536,0,0,1,1,11.285341,4.5052333
2736,entp,26.12,124.17000000000002,1,0,0,1,9.854186,3.2068148
